Rank,Title,Platform(s),Developer(s),Publisher(s),Ref.,Releaseyear,Sales(millions),Series,Table_Number
1,Minecraft,Multi-platform,Mojang Studios,Mojang Studios,[b],2011,350.0,Minecraft,1
2,Grand Theft Auto V,Multi-platform,Rockstar North,Rockstar Games,[#],2013,225.0,Grand Theft Auto,1
3,Wii Sports,Wii,Nintendo EAD,Nintendo,[a],2006,82.9,Wii,1
4,Red Dead Redemption 2,Multi-platform,Rockstar Games,Rockstar Games,[#],2018,82.0,Red Dead,1
5,Mario Kart 8/Deluxe,Wii U/Switch,Nintendo EAD/Nintendo EPD(Deluxe),Nintendo,[c],2014,79.05,Mario Kart,1
6,PUBG: Battlegrounds,Multi-platform,PUBG Studios,Krafton,[#],2017,75.0,PUBG Universe,1
7,Terraria,Multi-platform,Re-Logic,Re-Logic/505 Games,[#],2011,64.0,Terraria,1
8,The Witcher 3: Wild Hunt,Multi-platform,CD Projekt Red,CD Projekt,[#],2015,60.0,The Witcher,1
9,Super Mario Bros.,Multi-platform,Nintendo R&D4,Nintendo,[d],1985,58.0,Super Mario,1
10,Human: Fall Flat,Multi-platform,No Brakes Games,Curve Digital,[#],2016,55.0,Human: Fall Flat,1
11,Overwatch,Multi-platform,Blizzard Entertainment,Blizzard Entertainment,[#],2016,50.0,Overwatch,1
12,The Sims,Multi-platform,Electronic Arts,Maxis,[#],2000,50.0,The Sims,1
13,Stardew Valley,Multi-platform,Chucklefish/ConcernedApe,ConcernedApe,[#],2016,50.0,Stardew Valley,1
14,Animal Crossing: New Horizons,Nintendo Switch,Nintendo EPD,Nintendo,[#],2020,49.32,Animal Crossing,1
15,Pokémon Red/Blue/Yellow,Multi-platform,Game Freak,Nintendo,[e],1996,47.44,Pokémon,1
16,Wii Fit/Plus,Wii,Nintendo EAD,Nintendo,[f],2007,43.8,Wii,1
17,Call of Duty: Black Ops III,Multi-platform,Treyarch,Activision,[#],2015,43.0,Call of Duty,1
18,Call of Duty: Modern Warfare,Multi-platform,Infinity Ward,Activision,[#],2019,41.0,Call of Duty,1
19,Hogwarts Legacy,Multi-platform,Avalanche Software,Warner Bros. Games,[#],2023,40.0,Wizarding World,1
20,Payday,Multi-platform,505 Games,Overkill Software,[#],2013,40.0,Payday 2,1
21,Sonic the Hedgehog,Multi-platform,Sega,Sonic Team,[h],1991,40.0,Sonic the Hedgehog,1
22,Super Smash Bros. Ultimate,Nintendo Switch,Bandai Namco Studios/Sora Ltd.,Nintendo,[#],2018,37.44,Super Smash Bros.,1
23,Mario Kart Wii,Wii,Nintendo EAD,Nintendo,[i],2008,37.38,Mario Kart,1
24,The Legend of Zelda: Breath of the Wild,Multi-platform,Nintendo EPD,Nintendo,[j],2017,35.34,The Legend of Zelda,1
25,Tetris(Game Boy),Game Boy,Nintendo R&D1,Nintendo,[k],1989,35.0,Tetris,1
26,Cyberpunk,Multi-platform,CD Projekt,CD Projekt Red,[#],2020,35.0,Cyberpunk 2077,1
27,Wii Sports Resort,Wii,Nintendo EAD,Nintendo,[l],2009,33.14,Wii,1
28,New Super Mario Bros.,Nintendo DS,Nintendo EAD,Nintendo,[#],2006,30.8,Super Mario,1
29,New Super Mario Bros. Wii,Wii,Nintendo EAD,Nintendo,[#],2009,30.32,Super Mario,1
30,Super Mario Odyssey,Nintendo Switch,Nintendo EPD,Nintendo,[#],2017,30.27,Super Mario,1
31,Pokémon Gold/Silver/Crystal,Game Boy Color,Game Freak,Nintendo,[m],1999,30.12,Pokémon,1
32,Elden Ring,Multi-platform,FromSoftware,Bandai Namco,[#],2022,30.0,Elden Ring,1
33,Borderlands,Multi-platform,2K Games,Gearbox Software,[#],2012,30.0,Borderlands 2,1
34,Call of Duty,Multi-platform,Activision,Treyarch/Raven Software,[#],2020,30.0,Call of Duty: Black Ops Cold War,1
35,The Elder Scrolls,Multi-platform,Bethesda Softworks,Bethesda Game Studios,[#],2011,30.0,The Elder Scrolls V: Skyrim,1
36,Monster Hunter: World,Multi-platform,Capcom,Capcom,[n],2018,29.1,Monster Hunter,1
37,Duck Hunt,Famicom / NES,Nintendo R&D1,Nintendo,[o],1984,28.3,Duck Hunt,1
38,Pokémon Scarlet/Violet,Nintendo Switch,Game Freak,Nintendo/The Pokémon Company,[#],2022,28.08,Pokémon,1
39,Wii Play,Wii,Nintendo EAD,Nintendo,[p],2006,28.02,Wii,1
40,Black Myth: Wukong,Multi-platform,Game Science,Game Science,[#],2024,28.0,Black Myth,1
41,Grand Theft Auto: San Andreas,Multi-platform,Rockstar North,Rockstar Games,[#],2004,27.5,Grand Theft Auto,1
42,Pokémon Sword/Shield,Nintendo Switch,Game Freak,Nintendo/The Pokémon Company,[#],2019,27.08,Pokémon,1
43,It Takes Two,Multi-platform,Hazelight Studios,Electronic Arts,[#],2021,27.0,It Takes Two,1
44,The Last of Us/Remastered,PS3/PS4,Naughty Dog,Sony Computer Entertainment,[q],2013,26.6,The Last of Us,1
45,Call of Duty: Modern Warfare 3,Multi-platform,Infinity Ward/Sledgehammer,Activision,[#],2011,26.5,Call of Duty,1
46,Call of Duty: Black Ops,Multi-platform,Treyarch,Activision,[#],2010,26.2,Call of Duty,1
47,Marvel's Spider-Man/Remastered,Multi-Platform,Insomniac Games,Sony Interactive Entertainment,[r],2018,26.1,Marvel's Spider-Man,1
48,Pokémon Sun/Moon/Ultra Sun/Ultra Moon,Nintendo 3DS,Game Freak,Nintendo/The Pokémon Company,[s],2016,25.59,Pokémon,1
49,Garry's Mod,PC,Facepunch Studios,Valve,[#],2006,25.56,Garry's Mod,1
50,Pokémon Diamond/Pearl/Platinum,Nintendo DS,Game Freak,Nintendo/The Pokémon Company,[t],2006,25.5,Pokémon,1
